Object Id,XMin,XMax,YMin,YMax,171Yb_Renin Cell Intensity,175Lu_Aqu1 Cell Intensity,176Yb_H3 Cell Intensity,191Ir_DNA1 Cell Intensity,193Ir_DNA2 Cell Intensity,141Pr_aSMA Cell Intensity,143Nd_Vimentin Cell Intensity,145Nd_Aqu2 Cell Intensity,146Nd_Nestin Cell Intensity,147Sm_B-Cat Cell Intensity,148Nd_Calbindin Cell Intensity,150Nd_CD86 Cell Intensity,151Eu_CD31 Cell Intensity,152Sm_CD66b Cell Intensity,153Eu_Uromodulin Cell Intensity,156Gd_CD4 Cell Intensity,159Tb_CD68 Cell Intensity,161Dy_CD20 Cell Intensity,162Dy_CD8a Cell Intensity,164Dy_Cytokeratin7 Cell Intensity,165Ho_Megalin Cell Intensity,166Er_Col-IV Cell Intensity,169Tm_WT1 Cell Intensity,170Er_CD3 Cell Intensity,89Y_CD45 Cell Intensity,Cell Area (µm²),Cytoplasm Area (µm²),Membrane Area (µm²),Nucleus Area (µm²),Nucleus Perimeter (µm),Nucleus Roundness
0,1404,1407,853,856,16.6,0,0,0,0,34140.4,6212.7,504.1,1092.1,0,0,0,2,0,0,0,0,0,0,0,0,36747.3,512,0,0,10,0,10,0,0,0
1,1058,1062,913,916,0,18021.875,0,0,0,0,0,0,0,32.625,0,2730.625,0,0,0,0,0,0,0,0,29655.375,0,0,0,0,8,0,8,0,0,0
2,1058,1065,915,925,5.627119,27317.441,304.6271,0,0,0,0,170.88136,0,4.423729,0,1851.2712,0.677966,0,8.050847,0,0,0,0,0,26686.17,0,0,0,0,59,26,33,0,0,0
3,1159,1161,1333,1334,0,0,1123.3334,0,0,0,0,0,1365,0,37177,7281.6665,1.666667,0,0,0,0,0,0,3120.6667,0,0,2730.6667,0,0,6,0,6,0,0,0
4,1480,1503,790,816,1.870787,1060.323,2361.503,811.80054,1056.441,2407.9746,1780.6938,552.2472,452.46628,0.733146,1569.5674,2331.7698,0.505618,552.2612,235.65169,0,0,48.022472,341.33707,1091.3679,343.97473,1477.5,1101.6573,10.233146,0,356,205,0,151,57,0.599115
5,997,1019,796,816,3.044503,108.450264,3348.6858,1798.3665,2211.7224,113.58377,0,131.96335,250.13612,2.049738,3516.5603,3202.4084,33.424084,0,373.48953,0,0,44.753925,0,10428.217,772.8639,1223.4764,40.209423,0,0,382,319,0,63,32,0.829071
6,813,844,799,820,1.784946,525.4552,2274.3208,1512.2133,1839.9015,1318.0609,205.10931,424.60214,577.3441,4.677419,12297.81,5559.122,4.114696,352.3387,175.9086,0,0,239.99821,0,5813.575,1003.0968,819.80286,97.26165,0,0,558,432,0,126,46,0.828704
7,934,959,800,818,3.288136,137.73164,3454.9124,2644.7515,2929.2063,62.531075,0,142.40112,123.39831,0.737288,386.9435,1110.7627,0.59322,0,156.9096,0,56.446327,48.293785,0,238.01695,552.1949,800.0763,69.42373,0,0,354,262,0,92,41,0.744668
8,1403,1430,793,814,0,1453.0604,2065.9275,923.0797,1151.6256,10766.246,1263.4131,340.9372,422.0483,160.81885,13.942029,1108.0797,4.176329,0,322.79468,0,0,82.58937,0,474.88406,69.85024,3115.0266,593.62317,0,0,414,261,0,153,54,0.717347
9,911,932,792,815,1.300261,104.87728,1122.4491,1658.1985,1909.9269,1038.1619,4.13577,65.8094,121.18799,1.362924,0,399.2559,0.156658,0,0.744125,0,0,0,0,48.88773,86.01828,545.2663,8.020887,0,0,383,311,0,72,36,0.840535
10,1102,1131,792,820,3.930599,10290.403,2001.7113,2232.2288,2504.1104,595.71924,0,198.7776,94.739746,2.881703,0,2411.9084,0.709779,0,572.9527,33.402206,0,314.59622,131.36594,191.9653,5421.71,2214.5662,1860.6436,0,0,634,546,0,88,39,0.867859
11,1266,1292,802,819,2.656,4494.724,6095.02,4029.188,4251.868,290.412,0,362.952,65.52,3.132,0,3407.82,16.332,262.14,352.308,0,0,136.768,786.42,393.208,1269.592,3527.12,1675.264,262.14,0,250,158,0,92,42,0.78895
12,1326,1346,796,810,4.762295,144.37296,339.11887,5940.4917,6227.959,18541.422,1769.8197,289.2377,358.0492,276.07376,0,2775.3894,0.614754,0,37.807377,0,0,70.065575,0,172.65984,11.25,21017.672,579.1475,0,0,244,202,0,42,24,0.768212
13,1397,1404,798,815,3.254902,307.47058,2698.4805,3696.0981,3877.2646,35098.746,2098.343,593.05884,481.80392,12.794118,0,1285,1.862745,642.5,0,0,0,0,0,229.46078,5.382353,14265.02,5882.961,0,0,102,67,0,35,22,0.833884
14,1367,1384,797,821,3.828947,957.5855,2594.283,4.842105,43.095394,128.17763,2158.6382,99.49342,314.32565,1.717105,0,1221.5953,0.394737,0,0.9375,0,0,0,0,107.78619,38.536182,404.3158,1519.1578,0,0,304,252,0,52,28,0.705814
15,1381,1402,798,828,2.054456,2295.1387,1889.9604,265.17328,411.36633,7938.6387,3741.344,349.37625,547.401,5.814356,0,2757.661,1.247525,162.21535,53.910892,0,0,0,0,393.94556,32.16337,7268.891,565.2277,0,0,404,285,0,119,48,0.702227
16,1144,1173,795,821,5.007936,14082.561,2310.4792,1995.7063,2072.6,92.76667,10.266666,224.04445,78.00159,2.9,0,2427.2222,0.825397,208.04762,407.48413,0,0,524.6413,1111.7683,111.45238,10595.404,1357.6158,4109.0034,0,0,630,543,0,87,38,0.863826
17,1071,1083,799,820,6.240602,11255.338,2319.9473,2610.278,3548.9849,908.8421,0,530.6316,164.22557,1.962406,0,3284.9624,0.676692,0,878.218,0,0,385.62405,1108.7368,246.36842,8686.1875,1035.0676,5551.1577,807.594,0,133,92,0,41,24,0.77631
18,889,913,797,823,3.836134,17269.262,1656.0231,1269.9916,1498.0358,1183.2374,0,105.90336,86.033615,3.289916,0,1606.25,0.903361,275.35715,189.42647,0,0,107.7479,134.81723,78.67227,5585.0044,2078.5232,1656.4706,0,0,476,401,0,75,34,0.818735
19,1085,1101,808,818,10.108109,8771.615,3291.8445,1850.75,2274.2703,424.81082,0,715.2838,55.337837,1.763514,0,4132.838,1.554054,0,2820.777,2214.0203,0,115.51351,618.12164,347.91217,7118.0337,5585.4795,9568.852,1377.6418,442.80405,148,91,0,57,28,0.78543
20,1345,1365,801,819,2.902098,1708.1224,1060.5525,4540.364,4857.8145,12766.965,5522.4126,334.8916,792.34265,1.825175,0,3055.2449,1.398601,0,73.83217,0,0,59.776222,0,49.1014,47.353146,23764.885,913.007,0,0,286,234,0,52,32,0.632081
21,1486,1510,803,826,1.320955,5088.432,2126.716,1753.9523,1807.8514,220.7984,892.756,53.485413,130.3581,0,0,869.1644,0.371353,0,78.46684,0,0,90.69496,0,49.665783,1237.1698,95.883286,200.99734,0,0,377,340,0,37,23,0.8407
22,1206,1235,801,821,3.688889,10014.361,2347.4526,2638.1475,2819.3413,1827.509,81.270706,142.57373,126.85657,1.581818,0,1588.7273,0.707071,132.39394,211.56161,0,0,69.074745,16.557575,66.19596,5477.9194,1435.3596,403.39395,0,0,495,426,0,69,34,0.853879
23,1255,1277,802,822,5.316726,17557.826,3045.1033,2370.1353,2474.0784,20.483986,0,322.91104,58.295372,0,0,2565.427,0.893238,233.22064,388.5872,0,0,294.0605,29.16726,149.92526,10059.555,1089.9004,1187.9857,0,0,281,203,0,78,37,0.716216
24,1060,1080,802,830,3.42268,14974.124,4743.354,2496.1719,2870.7869,173.45016,0,259.84537,168.87285,3.587629,0,3528.2302,0.859107,0,876.96564,0,0,342.70447,61,96.515465,12995.183,1250.6736,3247.945,237.72508,0,291,242,0,49,28,0.782013
25,1327,1344,812,825,0.864583,2151.875,1107.8281,2327.927,2538.6355,15288.234,1215.0521,341.3229,255.9427,2.71875,0,2161.7449,1.302083,0,111.46354,0,0,0,0,195.04167,214.4948,7644.797,965.3333,0,0,192,166,0,26,18,0.8577
26,1404,1427,813,830,2.932353,1209.4353,1767.7235,1974.0177,2253.703,21313.146,3250.106,533.7529,473.76764,5.373529,16.079412,2377.25,1.294118,192.75,405.92352,0,0,435.78235,0,619.5441,17.761765,13803.103,1665.5059,0,0,340,298,0,42,25,0.776614
27,914,939,812,825,2.563707,140.97298,1719.0927,2808.8455,3080.2817,2299.3438,88.42085,175.16989,252.9807,2.015444,0,759.09265,0.656371,506.06177,64.6332,0,0,0,0,108.440155,80.559845,2029.0386,177.91505,0,0,259,188,0,71,34,0.802075
28,801,819,806,838,2.778243,1514.2782,5205.0923,1964.8033,2325.4624,1190.3431,1470.6882,516.7594,519.7699,5.460251,7284.0605,3656.067,0.585774,137.10251,609.10254,0,0,208.6339,0,8059.659,459.49164,666.364,670.5272,0,0,478,379,0,99,40,0.721615
29,1170,1199,806,824,5.077647,10710.285,2564.894,1978.5436,2385.3105,182.31529,61.72,320.25177,89.93176,1.842353,0,2827,0.635294,0,338.38824,0,0,315.10352,0,143.18353,5704.308,337.01413,1542.0236,0,0,425,357,0,68,34,0.78072
30,941,969,810,842,1.936667,1217.2067,2347.965,1928.565,2325.31,575.5983,0,949.395,341.27335,110.095,3870.4016,1929.6417,0.7,0,65.308334,0,0,194.705,0,280.86,692.79834,1507.08,322.56,0,0,600,453,0,147,60,0.691095
31,1338,1363,818,831,2.797753,504.47754,1043.4551,3962.9832,4512.994,24070.584,1968.3765,226.5618,429.45505,7.33146,0,2822.6685,0.730337,368.17416,232.45506,0,0,0,0,26.297752,47.292133,27868.658,673.0787,0,0,178,130,0,48,26,0.748496
32,1291,1317,810,835,2.05477,6391.2065,2244.173,1650.2014,2008.2031,395.02475,1.227915,106.87633,110.939926,0.922261,0,1428.03,0.618375,115.78622,128.72261,115.78622,0,206.40106,31.36219,74.43286,1012.2385,2208.9666,589.79504,0,0,566,381,0,185,56,0.761466
33,1051,1071,812,829,6.916667,11220.602,2135.861,3451.5464,4149.0415,945.00464,0,373.4074,240.15741,0,0,3438.5647,0.694444,303.40277,753.8935,606.80554,0,158.2963,0,325.06946,4777.935,2612.301,4939.852,160.13426,0,216,169,0,47,26,0.851682
34,1080,1098,817,840,5.89645,18117.432,918.43494,1070.716,1195.3254,0,0,104.39941,88.84911,3.088758,0,2326.6863,0.650888,0,261.429,193.89053,0,295.0503,0,27.698225,18028.977,107.38166,2408.5178,204.66864,0,338,263,0,75,32,0.775768
35,1024,1047,813,834,2.95549,4977.4717,795.6172,912.19586,1132.365,494.01483,0,373.96143,194.4273,3.872404,640.1098,1815.0149,1.008902,0,438.87537,194.46588,0,245.19585,0,694.51337,2019.4332,4070.5222,1385.5905,0,0,337,286,0,51,28,0.796152
36,1100,1113,814,842,6.05298,13121.698,1474.3378,866.75494,1085.5961,1326.9039,0,183.61258,54.23841,3.456954,0,2459.3708,0.662252,0,456.68213,0,0,330.22186,0,155,12874.583,1389.5199,1658.0663,0,0,302,229,0,73,34,0.816993
37,1278,1292,816,839,2.515152,123.643936,1937.625,1931.4697,2047.0114,753.0341,23.875,114.568184,175.79924,0.988636,0,330.98486,0.454545,0,32.424244,0,0,64.757576,0,88.655304,28.420454,2317.8599,34.909092,0,0,264,194,0,70,32,0.772403
38,881,910,817,835,2.4,10062.27,3116.7131,2193.0095,2636.8457,514.2506,8.628916,170.05783,85.52289,0.628916,0,1737.0723,3.337349,0,284.43375,0,0,288.36627,0,112.79518,6720.0264,1000.5349,384.9253,0,0,415,329,0,86,38,0.808395
39,1206,1234,822,844,4.090909,8319.002,2217.0833,1467.7747,1691.9413,1083.4811,0,114.568184,98.242424,2.965909,0,1489.4318,3.041667,124.119316,121.77273,0,0,345.375,0,106.38636,4648.746,1096.0549,680.7273,0,0,528,452,0,76,36,0.854504
40,1253,1277,821,843,3.164286,300.19287,2163.8953,2506.1382,2832.9475,506.00952,0,2088.438,331.51666,2.485714,2672.3047,1716.3928,0.47619,0,140.18333,0,0,278.15,0,590.7048,625.7976,3653.719,56.07619,0,0,420,340,0,80,36,0.852356
41,1169,1198,825,843,1.804348,16966.28,2483.9673,1288.549,1434.9375,1002.26904,128.10326,479.44293,140.95381,1.418478,0,1780.8424,0.597826,0,548.2092,0,0,449.0815,22.27174,674.1658,4886.1113,1465.0869,2100.8696,0,0,368,304,0,64,34,0.828234
42,915,935,825,845,2.922535,17532.014,2542.169,1715.0634,2214.4966,6.235916,0,230.75,48.06338,3.676056,0,2846.0034,0.809859,0,735.48944,0,0,411.3486,490.37323,164.82394,7914.454,1684.9155,2578.028,12.827465,0,284,187,0,97,42,0.746399
43,1144,1167,821,844,1.464706,1692.8618,1891.097,1580.9294,1977.7089,1376.5323,0,252.05,80.29706,4.605882,0,1991.75,0.911765,0,8597.823,192.75,0,150.84706,1505.8971,426.79706,1118.6794,1165.6235,2361.2236,203.4647,0,340,276,0,64,33,0.819631
44,1351,1369,821,839,5.533333,306.8381,1727.9381,5038.6953,5314.1763,32328.9,7271.624,480.09525,702.0476,7.457143,0,4160.952,1.190476,624.1429,202,0,0,81.40952,0,178.3238,20.914286,42205.41,6441.443,0,0,210,177,0,33,23,0.778706
45,818,846,820,846,1.717241,2948.7156,526.1879,1215.5793,1269.0673,3337.693,28.865517,78.22241,127.094826,2.7,1130.4242,1431.2241,0.518966,112.99138,86.58965,0,0,225.98276,112.99138,129.13275,723.0034,1937.9155,338.9793,0,0,580,518,0,62,32,0.83303
46,1036,1047,825,847,3.751412,5899.5933,3437.8982,4174.565,4955.8193,1691.0282,93,227.84181,138.83615,373.2034,0,2838.6157,0.734463,0,424.5367,0,0,2141.034,7035.011,158.67796,1347.4689,2173.61,3968.7231,4741.3784,138.84746,177,125,0,52,28,0.839511
47,1048,1056,819,849,4.04878,9686.6875,2064.1172,2499.9072,3064.2097,3915.961,32.780487,270.49268,133.17561,6.365854,0,3516.5122,0.634146,0,611.99023,422.98535,0,653.2634,0,570.85364,3714.6147,2673.7903,3866.2244,639.36584,0,205,144,0,61,32,0.684324
48,1110,1130,821,847,2.878613,14596.526,3685.24,3068.7659,3180.3179,529.789,104.30347,174.83237,134.13873,0.754335,3.511561,3219.9277,0.895954,189.40752,414.8237,0,0,247.05202,0,284.10693,14172.615,1075.1359,2169.341,10.528902,0,346,266,0,80,38,0.773777
49,929,949,823,852,4.137072,17581.58,2553.676,1786.9003,2345.1091,132.41745,0,204.15265,102.0623,1.626168,13.732087,3538.754,1.090343,0,250.37695,0,0,470.45172,0,247.90343,8442.704,902.78815,1607.7758,0,0,321,230,0,91,41,0.764456
50,1057,1073,830,847,2.666667,6926.498,1761.0682,2404.1606,2837.028,2213.8955,7.248996,141.71486,120.61044,2.096385,0,2105.5422,0.64257,263.19278,569.17267,348.24097,0,331.8514,0,169.19276,4048.482,1990.6385,3306.4097,0,0,249,203,0,46,26,0.776021
51,1130,1146,825,846,2.432235,3898.912,1895.6959,1997.2601,2255.0586,994.20514,150.33699,350.83884,320.011,2.868132,0,1760.403,0.952381,0,927.4835,0,240.05495,605.3553,2395.5605,240.05128,1845.8425,4816.458,1170.2858,0,0,273,228,0,45,27,0.819729
52,1012,1037,827,853,2.310139,4908.8945,4411.0874,2084.5427,2265.0657,601.2167,376.81512,440.9642,390.7972,4.151093,4682.7417,4299.5127,0.854871,260.57654,816.35187,0,0,164.27634,130.28827,3778.336,1277.2942,2389.3657,1492.2306,137.5308,0,503,448,0,55,28,0.853482
53,1153,1179,828,854,0.775701,83.25,2198.7454,1991.3668,2144.9346,1163.8247,0,106.002335,108.43691,2.439252,0,1786.3901,1.121495,0,8424.21,153.11916,153.11916,233.007,63.806076,229.67523,961.8318,686.243,327.7757,0,0,428,356,0,72,36,0.82626
54,1283,1319,836,858,3.105919,841.62775,2941.5156,2610.9563,3119.3535,409.65887,11.202492,1436.9362,314.69937,1.626168,3446.4128,2756.1448,0.560748,102.07944,68.146416,0,0,461.57632,231.80841,80.20405,446.1978,3944.5889,154.7165,0,0,642,511,0,131,56,0.678351
55,883,906,836,851,1.558685,4324.4087,666.24414,3510.493,4328.7373,2602.6008,0,189.33333,64.08451,4.901409,0,2358.8499,0.849765,615.3521,313.48825,0,0,160.52582,0,307.67136,815.5023,3704.094,1245.1455,0,0,213,106,0,107,40,0.749363
56,1367,1385,827,843,1.488789,1099.2422,522.2377,3285.4888,3348.4932,25392.668,4300.852,429.50223,550.9372,296.21973,0,3330.6277,1.076233,587.7579,22.174889,0,0,76.66367,0,188.91928,24.618834,36430.94,6203.695,0,0,223,192,0,31,20,0.76137
57,1115,1132,837,856,3.865116,7764.9673,4208.065,2051.4373,2482.5955,2477.5117,367.8465,422.0372,279.3721,616.9116,3.530233,2336.907,0.930233,0,410.10696,0,0,384.33023,0,696.707,1145.093,3852.335,2038.4744,0,0,215,164,0,51,30,0.80553
58,1330,1355,830,857,2.706522,11520.121,3071.0488,1918.8152,2460.02,126.73189,0,228.30615,98.91304,1.418478,0,2374.4565,0.778986,118.722824,319.97827,118.722824,0,123.884056,32.157608,169.60146,4058.962,1174.7681,1385.7391,6.599638,0,552,473,0,79,36,0.853311
59,900,926,833,863,4.192233,13066.674,1385.2,911.466,1102.4447,269.10486,6.953398,254.49709,79.5165,129.7864,0,2672.301,0.998058,254.50485,432.17282,127.252426,0,420.48544,196.19417,172.69708,10888.0625,3833.4253,1976.4194,201.48932,206.7864,515,389,0,126,57,0.659415
60,1236,1264,833,857,1.386221,72.17536,1787.9541,1492.6555,1630.2568,255.12526,8.868476,1020.83923,290.68268,3.814196,1919.119,1413.7683,0.438413,273.63257,297.6597,0,0,35.691025,136.81628,166.13153,985.1399,798.3883,74.82255,0,51.30689,479,430,0,49,28,0.720403
61,1357,1370,838,858,0.775701,489.82242,1623.8972,2568.5562,3056.0793,14372.463,1113.8271,518.23364,191.36916,3.658879,0,1837.4299,0.514019,0,157.78038,0,0,0,0,218.73831,24.803738,10848.542,2339.888,0,0,214,177,0,37,22,0.743865
62,1367,1381,844,866,0.656126,342.16995,3518.3242,6279.308,6465.2373,17108.273,4836.423,657.5257,496.39526,7.221344,0,2763.004,1.106719,259.03162,68.794464,0,0,788.3557,1181.8499,166.51779,172.91304,12196.122,3136.7588,259.03162,0,253,180,0,73,38,0.695742
63,1399,1423,837,860,2.713897,1708.2426,2531.5503,2583.2153,2546.5232,27450.18,9360.384,769.1989,870.42236,5.689373,35.18801,3154.7275,1.392371,178.56949,816.6676,0,108.89373,93.166214,0,1275.4823,8.476839,16687.676,2572.556,0,89.2861,367,332,0,35,24,0.751236
64,877,892,839,864,3.242188,3445.2578,2416.4102,5210.3867,5808.332,3351.9648,0,177.22266,170.63672,2.039063,0,1877.3047,0.859375,0,85.078125,255.9961,78.05469,133.5625,0,73.140625,497.6328,2243.6133,796,0,0,256,196,0,60,31,0.70069
65,1381,1396,839,864,1.189964,1061.8495,2154.276,2119.294,2416.957,25485.756,6502,686.5914,645.853,3.741935,0,3288.4946,1.362007,0,267.62723,0,0,122.55197,0,402.66666,1.311828,23223.107,4488.717,0,0,279,245,0,34,22,0.819433
66,856,878,840,866,2.493562,8178.6157,746.53217,1704.1503,1954.9313,1201.0236,0,151.44635,87.877686,1.120172,0,1781.3519,0.708154,0,384.95493,45.444206,0,214.00644,140.63304,70.31545,3207.2725,1813.2961,1579.9485,148.45064,0,466,417,0,49,28,0.738978
67,944,972,841,862,4.934183,13472.257,3451.4268,2262.1506,2522.5986,1191.0977,0.059448,192.64969,69.55839,3.324841,0,2087.1018,0.658174,0,426.91296,0,0,496.0637,0,149.07643,5945.932,2217.6328,1087.0488,0,34.785564,471,400,0,71,34,0.867826
68,1128,1154,844,867,1.121622,120.42342,2629.7275,1972.6418,2318.322,550.45496,0,136.24324,79.936935,1.763514,0,1525.214,0.472973,0,416.02478,0,0,186.10585,83.03603,168.68468,821.1959,562.2432,403.6036,0,0,444,392,0,52,28,0.839511
69,807,834,841,872,1.742129,18597.494,1363.7212,978.62067,1265.8441,1619.1095,0,188.94302,61.3973,100.9925,0,2227.0764,0.614693,98.25337,382.1754,0,0,401.5562,110.54873,133.34183,7358.6807,1258.1589,1361.7482,0,0,667,588,0,79,36,0.779564
70,886,908,853,872,4.235669,11747.025,1879.5509,1467.9841,1563.1528,377.88535,0,32.10828,78.248405,2.493631,0,3269.793,1.178344,208.71019,414.086,0,0,163.33759,417.42038,163.98407,7522.188,667.0096,5853.758,11.601911,0,314,250,0,64,33,0.8225
71,1393,1418,848,868,1.169014,1683.9296,2606.8027,4182.1055,4417.75,15851.862,3779.8416,497,567.19366,0.919014,32.637325,2538.3274,1.443662,230.75705,429.35916,0,1153.7852,120.39436,0,1054.8767,125.01761,11395.627,944.6761,0,0,284,219,0,65,42,0.581697
72,1192,1218,847,866,4.949541,17721.537,1819.0963,1226.906,1555.289,398.08945,0,231.23853,56.35321,2.993119,0,2605.367,0.963303,300.61926,423.87155,0,0,156.84404,191.02293,96.626144,9770.333,1191.8646,5103.5596,0,169.09862,436,371,0,65,32,0.761371
73,1228,1255,851,879,4.003442,179.31325,1653.241,842.1411,1028.5232,138.70224,39.082615,381.76593,305.45782,2.246127,5331.9775,2594.3289,0.550775,112.796906,401.91394,0,0,29.425129,0,128.90878,864.48193,501.2926,176.24785,0,42.299484,581,504,0,77,36,0.782447
74,1167,1192,849,879,2.658363,1170.1388,824.9146,825.42706,915.61743,1899.5178,85.30783,242.18327,136.01958,1.393238,0.539146,971.7527,0.569395,116.61032,2873.6887,0,0,263.64056,99.61032,241.54626,1280.322,5611.8613,770.7331,0,0,562,499,0,63,33,0.752769
75,966,994,850,875,1.920661,92.6281,2131.071,1579.7405,1997.4231,774.3157,0,1733.119,306.86282,2.157025,2466.1338,2563.6282,0.694215,0,208.3124,0,0,113.0314,92.53058,882.0397,899.14874,5337.2246,123.55702,0,0,605,450,0,155,73,0.585681
76,998,1024,854,881,1.509091,6996.0127,1506.0491,2213.0146,2564.6692,1420.1,14.689091,934.88,188.63637,120.57818,1077.0182,2422.809,0.781818,119.15455,359.70908,630.63275,0,62.167274,0,817.0491,3285.8965,2116.9473,2962.1492,658.6618,0,550,506,0,44,26,0.876032
77,946,964,864,876,0,15870.542,3844.6458,2722.8792,2933.954,0,0,294.05832,56.875,0,0,2548.5833,1.004167,0,315.85834,0,0,759.825,779.37915,214.54584,7757.6294,225.95833,1497.5958,0,0,240,179,0,61,30,0.829886
78,1191,1215,867,886,1.886364,400.93182,2175.5312,2388.8948,2582.699,2928.3494,444.9801,186.1733,349.02274,1.482955,0,1427.3722,0.767045,0,73.224434,0,0,97.13636,104.73864,226.07103,88.90625,7903.7925,26.181818,0,0,352,273,0,79,37,0.679039
79,1389,1402,864,886,0,826.04517,8922.336,3997.5613,4623.7744,896.9613,789.98065,1496.0516,598.8968,1.683871,2567.9033,4369,1.032258,422.80646,779.3484,0,0,220.59355,0,936.2,2376.026,2023.8258,105.703224,0,0,155,103,0,52,28,0.789084
80,1404,1414,870,887,1.469027,741.354,6170.655,2042.7965,2570.1946,568.13275,501.61063,2319.7788,628.1947,2.309735,14805.54,4446.3276,1.327434,1159.9115,1212.9381,0,0,151.29204,0,662.79645,1524.2655,732.0708,516.53094,579.95575,0,113,79,0,34,21,0.711682
81,902,930,863,886,5.200418,14377.551,2299.2358,1943.8204,2113.6262,50.83925,28.98121,221.00418,108.292274,2.724426,0,3055.5637,0.835073,0,414.41336,0,0,624.595,664.1357,97.72443,11032.224,484.19833,3089.1023,72.21085,1402.3674,479,408,0,71,34,0.863482
82,1120,1147,865,882,1.601286,1785.0321,2668.283,2309.627,2622.09,1688.4148,103.92926,389.01608,272.14792,2.517685,10.749196,1334.582,75.16399,421.44696,400.3505,0,0,320.6656,210.72348,511.7492,344.30548,5590.183,148.1672,0,52.68167,311,264,0,47,26,0.824598
83,1211,1231,865,884,1.152778,322.9618,1664.3229,2100.3193,2615.1077,4641.5347,96.302086,105.020836,227.51042,3.625,0,1972.118,1.284722,0,158.86111,0,0,59.36111,0,308.81946,56.56597,4285.618,56.88889,0,0,288,249,0,39,24,0.814203
84,1313,1325,865,882,3.223301,115.72816,2974.0146,2848.8154,3213.4902,3292.864,363.0291,440.47574,344.60193,3.800971,436.85437,2120.8738,0.291262,0,42.475727,0,0,484.11166,1663.6165,68.16991,398.0291,1479.3787,357.90292,503.7233,0,206,165,0,41,24,0.757147
85,1327,1344,866,884,3.730337,354.76028,2774.1685,2090.3596,2551.0786,3674.9102,237.49063,1246.1011,634,3.910112,3968.457,4009.0076,1.048689,245.44943,235.47566,0,0,320.1498,1707.9438,140.25468,1176.3821,2511.4082,61.363297,1615.8877,30.681648,267,215,0,52,30,0.69167
86,949,973,877,894,6.097959,16859.617,591.4857,719.7837,741.19183,1478.3102,0,267.48163,133.71428,0,0,3209.8774,0.979592,0,426.27347,0,0,476.82858,0,496.76328,7003.865,3266.3225,1550.6285,141.1796,0,245,102,0,143,51,0.690857
87,969,988,877,891,2.110169,20.911016,2973.5974,2166.8474,2350.1948,0,0,3011.8306,543.73303,1.105932,9789.895,5276.123,0.59322,0,704.9195,0,0,217.32204,0,357.02542,625.8856,665.0847,754.98303,0,0,236,171,0,65,32,0.807582
88,1150,1176,867,893,1.984064,156.16933,1811.1693,1483.6274,1900.2151,2021.6274,73.67132,170.71115,261.05377,2.079681,0,1566.5737,0.739044,130.5478,376.10358,0,0,363.26294,130.5478,167.84462,1022.0279,5367.701,120.3506,0,0,502,466,0,36,24,0.673709
89,1288,1311,867,890,1.104213,1007.46564,3899.1995,2487.3704,2921.2993,644.99554,196.12639,1263.0488,629.5854,2.89357,4154.399,4359.3125,1.050998,145.31042,308.33258,0,0,328.5277,75.7051,477.44125,1068.5942,1636.3881,449.56097,145.31042,0,451,402,0,49,29,0.797221
90,1380,1401,867,893,3.337349,1068.1687,6409.7954,2580.1365,2869.8755,613.4739,859.1888,4453.94,1140.3735,6.289156,10937.795,4912.9316,1.409639,263.19278,979.07227,0,0,526.38556,0,921.1647,1190.8755,1235.4579,119.26105,0,263.19278,249,197,0,52,31,0.735127
91,1407,1429,868,889,2.943262,240.6773,2196.4077,1318.6028,1580.8972,5290.0073,703.7482,2145.1348,542.1702,1.851064,4560.787,3098.5815,34.141846,0,399.3546,0,0,60.624115,0,132.79433,1300.1063,1876.0815,341.33334,0,58.09929,282,241,0,41,24,0.836685
92,877,902,871,896,4.399185,6570.1343,889.25867,812.0346,1129.613,917.0855,0,123.20163,88.96334,3.720978,0,2269.0325,1.228106,0,199.72098,133.4725,0,208.91243,266.945,152.53767,4914.483,2138.615,1603.78,0,0,491,401,0,90,39,0.732074
93,1361,1389,872,892,3.682266,204.71428,10088.882,5874.372,6336.771,480.92117,0,1999.0344,611.94086,3.857143,4946.7437,3873.9902,1.083744,0,1045.8276,0,0,287.7414,0,2490.3965,2937.7144,1544.968,728.90643,0,0,406,294,0,112,52,0.665732
94,1069,1096,873,901,3.130137,10850.962,1236.2739,767.1952,1058.6798,551.9452,0,129.47774,112.196915,2.681507,0,2693.2192,12.775685,0,372.15753,0,0,117.095894,591.48975,128.24658,6430.95,755.8082,1693.8082,0,0,584,498,0,86,36,0.741023
95,1113,1134,875,902,6.298578,17101.768,4824.7417,3613.6255,3877.8032,347.28198,29.876778,334.47394,129.38863,2.473934,0,2847.0972,0.734597,310.5924,623.4384,205.47867,0,391.61612,155.2962,277.31042,13962.621,2055.7393,2322.199,163.92891,0,422,347,0,75,34,0.741592
96,1132,1147,881,896,2.912281,655.8158,5039.0176,5370.719,5965.1313,3755.8157,326.807,353.7544,191.58772,0,29.324562,2299.4736,0.350877,0,327.9035,0,0,0,0,862.2895,78.6579,3656.3772,125.75439,0,0,114,72,0,42,24,0.843968
97,1239,1259,874,899,1.544186,547.58374,2790.293,1724.3954,1974.1675,1272.7535,128.0907,293.0814,933.407,2.427907,15882.096,6705.9067,0.744186,152.40698,713.16974,0,0,0,85.73953,359.23953,296.68604,1768.0768,357.2093,0,0,430,364,0,66,34,0.77122
