Object Id,XMin,XMax,YMin,YMax,171Yb_Renin Cell Intensity,175Lu_Aqu1 Cell Intensity,176Yb_H3 Cell Intensity,191Ir_DNA1 Cell Intensity,193Ir_DNA2 Cell Intensity,141Pr_aSMA Cell Intensity,143Nd_Vimentin Cell Intensity,145Nd_Aqu2 Cell Intensity,146Nd_Nestin Cell Intensity,147Sm_B-Cat Cell Intensity,148Nd_Calbindin Cell Intensity,150Nd_CD86 Cell Intensity,151Eu_CD31 Cell Intensity,152Sm_CD66b Cell Intensity,153Eu_Uromodulin Cell Intensity,156Gd_CD4 Cell Intensity,159Tb_CD68 Cell Intensity,161Dy_CD20 Cell Intensity,162Dy_CD8a Cell Intensity,164Dy_Cytokeratin7 Cell Intensity,165Ho_Megalin Cell Intensity,166Er_Col-IV Cell Intensity,169Tm_WT1 Cell Intensity,170Er_CD3 Cell Intensity,89Y_CD45 Cell Intensity,Cell Area (µm²),Cytoplasm Area (µm²),Membrane Area (µm²),Nucleus Area (µm²),Nucleus Perimeter (µm),Nucleus Roundness
1420,1225,1242,392,414,3.822368,4605.2437,1039.6283,605.5132,943.4605,253.41447,16504.139,1144.1743,1140.6118,5.151316,0,1580.8882,0.592105,0,179.9046,0,0,168.71053,0,92.38816,206.50658,2909.181,15002.875,0,0,304,139,0,165,54,0.712525
1421,1243,1265,394,419,2.172775,1884.0236,8325.835,8225.042,8795.586,173.84555,25870.807,1438.4032,1558.1492,4.782722,0,3659.8953,1.256544,171.55759,190.7199,514.6728,0,305.81937,0,147.04712,188.79057,2586.199,8427.893,0,21.445026,382,266,0,116,56,0.670512
1422,954,972,397,417,6.471861,12453.81,4819.628,3456.9524,3795.762,3.831169,8.774892,305.51514,70.90909,2.25974,0,1985.909,0.606061,0,309.23376,0,283.7013,148.01732,0,202.64069,6236.5586,2004.2727,1343.1688,15.770563,0,231,168,0,63,32,0.802776
1423,985,1018,394,428,2.657635,13325.08,2352.4717,970.2672,1170.7955,1066.0591,82.96675,173.82759,117.67487,1.285714,18.912561,1802.4816,0.641626,161.41626,1275.1909,0,0,207.03325,216.91379,288.24014,3582.7427,5397.6577,453.99014,0,0,812,657,0,155,62,0.657661
1424,1301,1317,397,410,7.766082,6254.643,5658.8306,9337.818,9373.362,769.0234,14466.041,471.67252,846.2105,3.052632,0,3321.462,0.877193,383.2456,221.92982,0,0,0,0,629.6082,446.36258,3200.6257,2730.6667,0,0,171,135,0,36,22,0.825658
1425,1434,1466,397,418,2.693694,9011.798,2937.0774,2191.6992,2772.8972,882.3766,49.924324,181.65765,172.16757,1.410811,0,2637.144,0.720721,118.08108,109.5045,0,0,236.16216,0,118.07928,6365.6,1366.4216,592.25946,0,0,555,386,0,169,60,0.737478
1426,805,824,398,420,4.841667,23605.875,7480.2334,6824.921,7326.6665,191.8625,932.51666,420.08334,216.1375,3.2625,20.270834,2275.5208,1.25,273.0625,785.1042,546.125,0,0,0,312.06668,13577.371,125.05417,3780.2666,15.179167,0,240,141,0,99,42,0.861845
1427,1206,1224,400,423,1.018405,3496.2607,2214.5889,3416.236,3941.7239,149.3773,12353.715,788.6227,871.00616,7.205522,0,2278.313,0.705521,0,182.06136,0,0,0,0,14.358895,105.55215,5800.583,9878.773,0,0,326,259,0,67,33,0.784662
1428,861,889,403,414,0.688797,32.070538,2817.141,1417.639,1964.1204,40.414936,320.82986,271.92117,169.92116,274.09543,0,1631.5768,0.539419,0,88.80083,87.87137,792.59753,141.87552,0,330.195,66.82987,1598.1079,0,543.85895,0,241,185,0,56,32,0.786946
1429,1076,1103,396,413,3.303483,2551.4377,4353.8955,2580.7686,3273.4626,2400.1194,48.965176,4614.7266,495.77612,166.91791,2431.0298,3314.7886,0.721393,0,252.45523,0,0,85.054726,0,3772.7935,706.17664,3343.408,213.97015,0,0,402,348,0,54,28,0.763487
1430,1267,1299,401,419,1.410765,6849.881,2335.952,2006.6516,2282.626,408.88385,16630.096,813.98865,1082.8159,3.696884,0,3403.6118,0.793201,0,74.09348,0,0,48.430595,0,159.12747,453.71106,5423.2466,7893.207,0,0,353,284,0,69,41,0.584835
1431,1319,1335,406,419,1.716495,12459.943,4379.8506,2558.1545,2846.3247,3832.2114,2676.366,207.87628,478.50516,1.345361,0,1238.634,0.515464,0,66.675255,0,0,0,0,3691.7527,546.26807,871.78864,153.07216,0,0,194,151,0,43,25,0.750946
1432,929,953,397,426,1.911708,192.06334,1919.0787,1440.833,1765.3243,1.698656,0,106.43186,83.83877,129.79463,0,1341.7274,0.863724,0,12078.58,0,0,32.81382,125.78695,206.64684,802.41266,2304.6565,37.34357,0,0,521,443,0,78,38,0.812494
1433,1125,1151,403,425,3.352018,16054.24,3285.4866,2375.7422,2636.3071,365.33856,46.127804,158.23767,134.66817,0.585202,0,2008.1726,0.73991,0,210.48654,293.87894,0,223.60313,58.17713,241.39687,6332.1323,1208.5134,817.3632,0,0,446,371,0,75,34,0.829059
1434,1393,1420,397,419,1.668342,3302.161,2388.8918,4006.3618,4266.2866,4188.6406,282.42966,177.32161,233.22614,2.623116,0,1207.5126,0.854271,0,118.53015,0,0,42.954773,164.6608,164.6583,1002.14575,689.9347,802.73364,0,0,398,356,0,42,25,0.792596
1435,795,816,403,432,3.122257,9456.132,6745.2915,5251.276,6015.3325,688.4483,341.2351,284.44513,85.58307,0.818182,0,1643.511,42.285267,205.43887,369.72726,0,0,366.2163,0,19824.854,2102.4294,15364.843,260.01254,0,0,319,193,0,126,54,0.719688
1436,967,983,399,419,3.984,18403.729,2823.552,1677.36,1878.98,30.108,0,161.312,109.2,1.044,0,1660.22,1.16,0,270.508,0,262.14,467.292,262.14,224.688,7165.428,1784.184,1290.24,14.572,0,250,194,0,56,34,0.750413
1437,1153,1176,404,419,3.437931,1450.5724,1333.8759,1612.2897,1919.1172,2705.5552,266.66553,139.06207,160.03448,3.6,37.73793,753.2759,0.758621,225.98276,144.31725,0,0,58.951725,0,871.63794,389.4207,6752.893,56.49655,0,0,290,244,0,46,24,0.787752
1438,1360,1379,401,422,5.4375,15969.077,4806.9434,2783.1726,3077.6755,141.00298,0,180.03572,65,2.330357,0,1950.4464,0.922619,0,484.9256,0,0,203.5238,581.0804,167.17857,12011.342,594.8244,4620.1904,102.94345,0,336,263,0,73,37,0.780226
1439,862,888,412,429,3.8,913.44,924.3829,1199.1315,1655.1771,685.66284,330.28,144.02856,249.61143,0,0,1248.2858,94.737144,0,50,242.02286,0,0,0,160.49142,38.69143,5335.5312,29.257143,2444.5657,0,175,110,0,65,39,0.566732
1440,1305,1323,411,429,1.144828,11203.91,2437.869,13944.869,14103.896,0,4045.0413,869.13794,376.57242,1.8,0,1355.8966,1.172414,0,292.55173,0,0,117.90345,0,1646.4276,412.7517,16048.772,2153.9312,0,0,145,88,0,57,34,0.694478
1441,1341,1359,406,419,5.269841,3393.2275,8569.534,5828.3916,6233.302,630.19574,202.2381,613.455,43.333332,1.380952,1.603175,2889.5503,0.899471,346.74603,1035.2169,0,0,90.455025,0,123.835976,1290.0317,750.32806,17267.105,202.28572,260.0635,189,139,0,50,28,0.866178
1442,1462,1482,402,430,5.276284,17837.572,4958,2559.159,2946.8386,0,41.403423,209.52812,133.50366,1.276284,0,2991.0024,0.880196,480.6968,553.2494,0,0,125.39854,156.91199,68.66993,14350.873,41.183372,3274.797,8.90709,0,409,346,0,63,30,0.833154
1443,818,837,405,422,2.73251,8892.543,4680.2305,3905.926,4153.185,193.12758,206.4321,269.68314,134.82304,5.37037,0,1708.0453,1.111111,0,208.6214,269.69135,621.61316,0,0,154.107,1069.6543,6526.1235,948.14813,269.69135,0,243,196,0,47,28,0.792928
1444,841,860,408,426,3.387755,773.7704,1916.3163,1619.1632,2000.301,214.59694,179.19388,128.59694,236.80103,3.994898,0,1783.2653,41.40306,668.7245,64.54082,0,0,596.0357,2849.1226,788.1326,259.61224,5496.8877,0,7095.954,0,196,166,0,30,20,0.740699
